type,program,catalog,reqs_url,4_yr_plan
BS,Biology: Option 7,2016–2018,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option7-degree-checklist-16-18-catalog.pdf,N/A
BS,Biology: Option 7,2018–2020,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option7-degree-checklist-18-20-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-biology-option7-4-yr-plan-18-20-catalog.pdf
BS,Biology: Option 7,2020–2022,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option7-degree-checklist-20-22-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-biology-option7-4-yr-plan-20-22-catalog.pdf
BS,Biology: Option 7,2022–2024,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option7-degree-checklist-22-24-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-biology-option7-4-yr-plan-22-24-catalog_0.pdf
BS,Biology: Option 8,2016–2018,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option8-degree-checklist-16-18-catalog.pdf,N/A
BS,Biology: Option 8,2020–2022,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option8-degree-checklist-20-22-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-biology-option8-teaching-composite-4-yr-plan-20-22-catalog.pdf
BS,Biology: Option 8 Composite,2018–2020,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option8-degree-checklist-18-20-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-biology-option8-teaching-composite-4-yr-plan-18-20-catalog.pdf
BS,Biology: Option 8 Composite,2022–2024,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option8-degree-checklist-22-24-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-biology-option8-teach-composite-sci-4-yr-plan-22-24-catalog_0.pdf
BS,Biology: Option 8 Life Science,2022–2024,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option8-degree-checklist-22-24-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-biology-option8-teach-life-sci-4-yr-plan-22-24-catalog_0.pdf
BS,Biology: Option 8 Life Science,2018–2020,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option8-degree-checklist-18-20-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-biology-option8-teaching-life-science-4-yr-plan-18-20-catalog.pdf
BS,Biology: Option 9,2022–2024,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option9-honors-degree-checklist-22-24-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-biology-option9-honors-4-yr-plan-22-24-catalog.pdf
